Title*,url,Supplier,Category,Measurement Unit 1 Code,Measurement Unit 2 Code,Internal Notes, Cost Formula ,Description,[C1],[C2],Size 1 Label,Size 2 Label,Common Names
Adapter/L.P./Barb to Male Pipe/Straight/Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=f49e77e2-f15b-4176-b603-4b4d694c846d&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], Low Pressure.,0.032,1.33,Inlet Hose Size,Outlet Pipe Size,
Adapter/L.P./Barb to Male Pipe/Straight/Plastic,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=cdc68df2-74d3-4a68-85f5-ff6192aae990&Action=View,Any,Plumbing,[Not Used],[Not Used],,0.5, Up to 25.4mm diameter inlet and outlet size. Low Pressure.,,,,,
Adapter/L.P./Bulkhead Male Connector//Steel/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=02c530d3-7392-4e0c-9cf4-82ecfcbea4fb&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0155,5.82,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Bulkhead Run Tee//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=7b05318f-c8bc-4c0e-b9cc-6e25e7083659&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm (use two largest sizes and ignore 3rd outlet). Low Pressure.,0.019,10.67,Largest Hose Size,2nd Largest Hose Size,
Adapter/L.P./Bulkhead Run Tee//Steel/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=64ae18c8-bef1-47ca-9098-86b3c172aa12&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm (use two largest sizes and ignore 3rd outlet). Low Pressure.,0.0155,15.24,Largest Hose Size,2nd Largest Hose Size,
Adapter/L.P./Bulkhead Tee//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=ea8d8e9a-ab23-4b99-a1f8-b651d4147c2d&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm (use two largest sizes and ignore 3rd outlet). Low Pressure.,0.014,10.54,Largest Hose Size,2nd Largest Hose Size,
Adapter/L.P./Bulkhead Tee//Steel/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=587fe95c-2879-42bd-ab8f-0df47f3a97e4&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm (use two largest sizes and ignore 3rd outlet). Low Pressure.,0.015,12.91,Largest Hose Size,2nd Largest Hose Size,
Adapter/L.P./Bulkhead Union//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=97646689-1d5b-40fc-b70c-8b893f604819&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.008,3.3,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Bulkhead Union//Steel/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=11abe27e-921f-4356-b488-86dcf0b83d69&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0072,5.47,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Bulkhead Union/45 deg./Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=18150d2e-323f-41d8-a113-39e069f607ab&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.024,2.36,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Bulkhead Union/45 deg./Steel/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=b09efa60-22af-4f98-8bf4-54a586b7b4a3&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.024,2.36,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Bulkhead Union/90 deg./Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=3fa89c41-ca71-4a65-9c21-8f84044115e3&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.013,6.47,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Bulkhead Union/90 deg./Steel/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=acd192a9-e5d0-4345-a691-b7b988a147b1&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.01,12.15,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Elbow/FeMale to Male Pipe/90 deg./Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=858dc5bf-4b34-4485-b5a7-910a3354a52d&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.144,8.63,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Female Flare Tee//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=ca5793ab-4eac-4f88-ae6c-fee959ea251f&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm (use two largest sizes and ignore 3rd outlet). Low Pressure.,0.024,7.55,Largest Hose Size,2nd Largest Hose Size,
Adapter/L.P./Female Flare Tee//Brass,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=57bd7e79-077d-4883-ac77-d3bf8db348ba&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm (use two largest sizes and ignore 3rd outlet). Low Pressure.,0.01,3.02,Largest Hose Size,2nd Largest Hose Size,
Adapter/L.P./Female Pipe Tee//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=8e5edad2-a33b-40d5-bbbd-78be7c5286fe&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm (use two largest sizes and ignore 3rd outlet). Low Pressure.,0.07,13.1,Largest Hose Size,2nd Largest Hose Size,
Adapter/L.P./FemAle Pipe to Male Flare//Steel/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=65b2c11a-207d-433e-8ef5-4e178155e37d&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.018,6.45,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Male Branch Tee//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=8e6db360-c903-45ec-bb38-1b664d0b0470&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm (use two largest sizes and ignore 3rd outlet). Low Pressure.,0.08,8.92,Largest Hose Size,2nd Largest Hose Size,
Adapter/L.P./Male Flare to Pipe//Aluminum/Nickel-Plated,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=c6d7ae7d-6955-4e14-8bf7-786fa03ac1b9&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.004,4.34,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Male Flare to Pipe//Brass/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=d5cc59bb-d2a6-4222-81af-7ae5cf7b2aec&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0016,1.74,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Male Flare to Pipe//Steel/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=a0eb3b70-2c17-4cb1-a87f-6de171bffdae&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0006,1.47,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Male Flare to Pipe/45 deg./Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=c317f5cf-2163-48e2-98c0-883be1cd5c64&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0002,11.55,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Male Flare to Pipe/45 deg./Aluminum/Nickel-Plated,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=6b7490d7-39ca-4fa4-8d57-53235927ed2d&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0004,18.59,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Male Flare to Pipe/45 deg./Steel/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=76e94670-c33a-4ed8-94db-d81fd31613d3&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0006,6.78,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Male Flare to Pipe/90 deg./Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=70db559c-75de-4182-a5fa-86b7624baa0f&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0004,5.28,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Male Flare to Pipe/90 deg./Aluminum/Nickel-Plated,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=93882cbe-0272-413d-a07c-d7cd875c61eb&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0006,9.0,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Male Flare to Pipe/90 deg./Brass/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=c33746ca-22c9-4349-b96b-b37c4b437275&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0002,2.11,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Male Flare to Pipe/90 deg./Steel/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=d1f32d29-4617-4895-92dd-837da7146a48&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0003,1.88,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Male Pip Nipple//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=e0b18cac-f18a-4314-9c7b-9653ad7a7700&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.035,3.5,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Male Run Tee//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=61de49b4-4fb8-474c-9c55-d3e2d6f44669&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm (use two largest sizes and ignore 3rd outlet). Low Pressure.,0.066,9.79,Largest Hose Size,2nd Largest Hose Size,
Adapter/L.P./Male Run Tee//Steel/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=e5c7925b-f9e9-4be0-8c80-f47569808bb3&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm (use two largest sizes and ignore 3rd outlet). Low Pressure.,0.069,10.98,Largest Hose Size,2nd Largest Hose Size,
Adapter/L.P./Pipe Coupling//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=dd421507-0223-4615-b89e-9263df7c303f&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.067,3.93,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Pipe to Pipe//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=31af9f30-8ede-4543-89a4-f3fe21b2f7e2&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure,0.016,7.2,Inlet Pipe Size,Outlet Pipe Size,
Adapter/L.P./Push-to-Connect to Male Pipe/Straight/Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=47178cf3-3546-44d9-9cfa-d3afeeb3412b&Action=View,Any,Plumbing,mm,mm, [C1]*[Size1]*[Size2]+[C2],[C1]*[Size1]*[Size2]+[C2]," [Size1]=Inlet Hose Size (mm), [Size2]=Outlet Pipe Size (mm). Low Pressure.",0.32,2.0,Inlet Hose Size,Outlet Pipe Size,
Adapter/L.P./Union Reducer//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=f95f7f9f-51bd-483a-8881-32e888e9f23d&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0063,1.75,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Union Reducer//Brass,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=263da01a-5786-40e7-9a77-f6d91e10b9fb&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0025,0.7,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Union Tee//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=ac5ba110-f484-4e76-b8e1-de0cbc111a25&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm (use two largest sizes and ignore 3rd outlet). Low Pressure.,0.012,7.13,Largest Hose Size,2nd Largest Hose Size,
Adapter/L.P./Union Tee//Brass/,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=acf8f63f-acc3-4524-88a1-9413e36dc00d&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm (use two largest sizes and ignore 3rd outlet). Low Pressure.,0.005,2.85,Largest Hose Size,2nd Largest Hose Size,
Adapter/L.P./Union//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=d7275813-57b9-40b8-8477-8dfb28a558e4&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0063,1.75,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Union/90 deg./Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=0ec2ee42-bbff-4f9d-8d6c-585372067d58&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0124,9.33,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Union/90 deg./Brass,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=8e900700-2a60-4593-a485-e4a888dfba2a&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.005,3.73,Inlet Hose Size,Outlet Hose Size,
Adapter/L.P./Union/FeMale Flare//Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=ec49d7af-211b-431c-bbed-6d1d692ac22f&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.0089,4.2,Inlet Hose Size,Outlet Hose Size,
Aim Evo 3 Pista Car,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=a3f8b844-2f4e-4244-8cf8-7ed5e44eba7b&Action=View,Aim,Electronics,[Not Used],[Not Used],,940,,,,,,
Aim Evo 3 Pro Car,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=8f690126-6af6-4665-be11-1ad265b01f7c&Action=View,Aim,Electronics,[Not Used],[Not Used],,1200,,,,,,
Aim Evo 4 DataLogger Car,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=37591dc7-f296-411e-87d7-a440228db8eb&Action=View,Aim,Electronics,[Not Used],[Not Used],,575,,,,,,
Aim M3 XG LOG Datalogger ,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=469aa2bd-f9ad-4cfa-816b-571997b420c3&Action=View,Aim,Electronics,[Not Used],[Not Used],,590,,,,,,
Aim MXL Pista Race Graphic Car,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=95320ee3-5bc4-4789-b84a-1ad66a29ac9a&Action=View,Aim,Electronics,[Not Used],[Not Used],,940,,,,,,
Aim MXL Pista Road Graphic Car,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=14eb31ff-5c76-4081-aa15-408e8972ef50&Action=View,Aim,Electronics,[Not Used],[Not Used],,940,,,,,,
Aim MXL Pro05 Car,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=9f8f8794-d4d8-4418-96d1-0615a8a1edfa&Action=View,Aim,Electronics,[Not Used],[Not Used],,1200,,,,,,
Aim MXL Strada Race Graphic Car,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=2dc23e0d-e37a-48d5-8637-2850348f0b68&Action=View,Aim,Electronics,[Not Used],[Not Used],,525,,,,,,
Aim MXL Strada Road Graphic Car,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=aa227d01-43ee-4e47-a655-36117d898b54&Action=View,Aim,Electronics,[Not Used],[Not Used],,525,,,,,,
Aim SmartyCam GPS Standard,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=c0ffd3a5-d92e-4750-abf4-c618554cf0de&Action=View,Aim,Electronics,[Not Used],[Not Used],,500,,,,,,
Aim SmartyCamGP Complete Car,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=c2b9446f-232d-4a18-85e6-793a477f3794&Action=View,Aim,Electronics,[Not Used],[Not Used],,500,,,,,,
Aim Solo DL GPS LapTimer For Car,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=6c13f557-d7b3-41fc-aae3-76793990672a&Action=View,Aim,Electronics,[Not Used],[Not Used],,300,,,,,,
Aim Solo GPS Lap Timer Kit 1 Car,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=9d1343a7-e554-4c3f-874a-b0093aaf6002&Action=View,Aim,Electronics,[Not Used],[Not Used],,180,,,,,,
Aim TG Lap Timer External Power,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=78a56d98-a2a3-4743-b995-8b8168ae9434&Action=View,Aim,Electronics,[Not Used],[Not Used],,165,,,,,,
Aim TG Lap Timer Internal Power,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=476dc33f-45da-4673-a28b-08f9d46e6e46&Action=View,Aim,Electronics,[Not Used],[Not Used],,165,,,,,,
Air Filter,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=d0ab62cf-5798-410e-9b19-fa83a7e44082&Action=View,Any,Engine,cm^2,[Not Used],,0.15*[Size1]," Paper, foam and cotton (K&N type) elements",,,,,
Air Pressure Regulator,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=370d6b0b-c08b-4669-9a82-5cee1d82fcf8&Action=View,Any,Shifter,[Not Used],[Not Used],,10,,,,,,
Aluminum Metal Matrix Composite (by Dimensions),https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=e31319c2-8883-4fe3-86b8-8382f1dd6c23&Action=View,Any,Raw Material,kg,[Not Used],,33*[Area]*[Length]*[Density], Density=2500kg/m^3,,,,,
Aluminum Metal Matrix Composite (per kg),https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=09115a75-565b-4306-9aa6-463301c39fc6&Action=View,Any,Raw Material (per kg),kg,[Not Used],,[Size1]*33, Density= 2500kg/m^3,,,,,
"Aluminum, Normal (by Dimensions)",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=ba36f427-5a70-46a8-b085-fc8af11079cc&Action=View,Any,Raw Material,kg,[Not Used],,4.2*[Area]*[Length]*[Density]," Density=2712kg/m^3 e.g. 2024, 6061, A356, A380",,,,,
"Aluminum, Normal (per kg)",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=de655282-2264-4971-bf89-2263a7542ff9&Action=View,Any,Raw Material (per kg),kg,[Not Used],,[Size1]*4.2," Density= 2712kg/m^3 e.g. 2024, 6061, A356, A380",,,,,
